# ===== 1. 오브젝트 (경로 | 활성 | 월드 좌표/회전/스케일 | 컴포넌트) =====
Audio | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Player/Visual | active=1 | pos=(0.0000,-1.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | CornerTelegraphView,SaltCornersView,Transform
Room/Blanket | active=1 | pos=(1.5000,-3.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | BlanketInteractable,BlanketView,BoxCollider2D,ChannelBarView,Transform
Room/Blanket/ChannelBar | active=0 | pos=(1.5000,-1.9500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/Blanket/ChannelBar/BG | active=1 | pos=(1.5000,-1.9500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,0.1400,1.0000) | SpriteRenderer,Transform
Room/Blanket/ChannelBar/Fill | active=1 | pos=(1.5000,-1.9500,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.1000,1.0000) | SpriteRenderer,Transform
Room/Blanket/Visual | active=1 | pos=(1.5000,-3.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Buddha | active=1 | pos=(-1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AltarHighlightView,BoxCollider2D,ChannelBarView,PrayerInteractable,Transform
Room/Buddha/ChannelBar | active=0 | pos=(-1.0000,2.7500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/Buddha/ChannelBar/BG | active=1 | pos=(-1.0000,2.7500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,0.1400,1.0000) | SpriteRenderer,Transform
Room/Buddha/ChannelBar/Fill | active=1 | pos=(-1.0000,2.7500,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.1000,1.0000) | SpriteRenderer,Transform
Room/Buddha/Halo | active=1 | pos=(-1.0000,2.1000,0.0500) rot=(0.000,0.000,0.000) scale=(0.7500,0.7500,1.0000) | SpriteRenderer,Transform
Room/Buddha/Visual | active=1 | pos=(-1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Clock | active=1 | pos=(1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | ClockView,Transform
Room/Clock/HandHour | active=1 | pos=(1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Clock/HandMinute | active=1 | pos=(1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Clock/Visual | active=1 | pos=(1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Door | active=1 | pos=(-3.1000,2.6000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | BoxCollider2D,ChannelBarView,DoorInteractable,DoorView,Transform
Room/Door/ChannelBar | active=0 | pos=(-2.5500,3.7000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/Door/ChannelBar/BG | active=1 | pos=(-2.5500,3.7000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,0.1400,1.0000) | SpriteRenderer,Transform
Room/Door/ChannelBar/Fill | active=1 | pos=(-2.5500,3.7000,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.1000,1.0000) | SpriteRenderer,Transform
Room/Door/Closed | active=1 | pos=(-3.1000,2.6000,0.0000) rot=(0.000,0.000,90.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Door/Open | active=0 | pos=(-3.1000,2.6000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Door/Open/Shadow | active=1 | pos=(-3.7000,2.6000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Floor | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Jar | active=1 | pos=(-3.8000,-2.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | BoxCollider2D,ChannelBarView,JarInteractable,Transform
Room/Jar/ChannelBar | active=0 | pos=(-3.8000,-1.5500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/Jar/ChannelBar/BG | active=1 | pos=(-3.8000,-1.5500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,0.1400,1.0000) | SpriteRenderer,Transform
Room/Jar/ChannelBar/Fill | active=1 | pos=(-3.8000,-1.5500,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.1000,1.0000) | SpriteRenderer,Transform
Room/Jar/Visual | active=1 | pos=(-3.8000,-2.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/PrayerBeam | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | LineRenderer,PrayerBeamView,Transform
Room/PrayerBeam/BeamHead | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Room/SaltCorner_0 | active=1 | pos=(-4.5000,1.5000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/SaltCorner_0/Gloom | active=1 | pos=(-4.5000,1.4500,0.0200) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_0/Mark | active=1 | pos=(-4.5000,1.3800,0.0000) rot=(0.000,0.000,0.000) scale=(0.5000,0.5000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_0/Visual | active=1 | pos=(-4.5000,1.5000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_1 | active=1 | pos=(4.5000,0.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/SaltCorner_1/Gloom | active=1 | pos=(4.5000,0.1500,0.0200) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_1/Mark | active=1 | pos=(4.5000,0.0800,0.0000) rot=(0.000,0.000,0.000) scale=(0.5000,0.5000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_1/Visual | active=1 | pos=(4.5000,0.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_2 | active=1 | pos=(-4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/SaltCorner_2/Gloom | active=1 | pos=(-4.5000,-3.8500,0.0200) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_2/Mark | active=1 | pos=(-4.5000,-3.9200,0.0000) rot=(0.000,0.000,0.000) scale=(0.5000,0.5000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_2/Visual | active=1 | pos=(-4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_3 | active=1 | pos=(4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Room/SaltCorner_3/Gloom | active=1 | pos=(4.5000,-3.8500,0.0200) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_3/Mark | active=1 | pos=(4.5000,-3.9200,0.0000) rot=(0.000,0.000,0.000) scale=(0.5000,0.5000,1.0000) | SpriteRenderer,Transform
Room/SaltCorner_3/Visual | active=1 | pos=(4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/TV | active=1 | pos=(3.5000,-1.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | BoxCollider2D,Transform,TvInteractable,TvScreenView
Room/TV/Visual | active=1 | pos=(3.5000,-1.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/WallTalisman | active=1 | pos=(-1.2000,3.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Wall_Bottom | active=1 | pos=(0.0000,-4.4450,0.0000) rot=(0.000,0.000,0.000) scale=(10.8600,0.4000,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/Wall_Left | active=1 | pos=(-5.2300,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4000,9.2900,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/Wall_Right | active=1 | pos=(5.2300,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4000,9.2900,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/Wall_Step | active=1 | pos=(0.2200,1.3700,0.0000) rot=(0.000,0.000,0.000) scale=(0.4000,1.3900,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/Wall_Top | active=1 | pos=(-2.6050,2.0650,0.0000) rot=(0.000,0.000,0.000) scale=(5.2500,0.4000,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/Wall_Top_Right | active=1 | pos=(2.6250,0.8750,0.0000) rot=(0.000,0.000,0.000) scale=(5.2100,0.4000,1.0000) | BoxCollider2D,SpriteRenderer,Transform
Room/WardLine | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform,WardLineView
Room/WardLine/WardTrail | active=1 | pos=(0.0000,-1.2396,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Window | active=1 | pos=(2.5000,2.1300,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform,WindowRattleView
Room/Window/Visual | active=1 | pos=(2.5000,2.1300,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Room/Window/Visual/Sky | active=1 | pos=(2.5000,2.1300,0.0000) rot=(0.000,0.000,0.000) scale=(1.2000,0.7000,1.0000) | SpriteRenderer,Transform
Screens | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Screens/EndingScreen | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | EndingScreenView,Transform
Screens/EndingScreen/Root | active=0 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | Canvas,CanvasGroup,CanvasScaler,RectTransform
Screens/EndingScreen/Root/BG | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,Image,RectTransform
Screens/EndingScreen/Root/Hint | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/EndingScreen/Root/Title | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/GameOverScreen | active=1 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | GameOverScreenView,Transform
Screens/GameOverScreen/Root | active=0 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | Canvas,CanvasGroup,CanvasScaler,RectTransform
Screens/GameOverScreen/Root/BG | active=1 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,Image,RectTransform
Screens/GameOverScreen/Root/Hint | active=1 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/GameOverScreen/Root/Title | active=1 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(0.0000,0.0000,0.0000) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen | active=1 | pos=(1003.5300,483.7440,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | TitleScreenView,Transform
Screens/TitleScreen/Root | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Canvas,CanvasGroup,CanvasScaler,GraphicRaycaster,RectTransform
Screens/TitleScreen/Root/BG | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpButton | active=1 | pos=(711.1111,444.4445,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpButton/Label | active=1 | pos=(711.1111,444.4445,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/HelpPanel | active=0 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpPanel/CloseButton | active=1 | pos=(560.0000,391.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpPanel/CloseButton/Label | active=1 | pos=(560.0000,391.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/HelpPanel/HelpText | active=1 | pos=(320.0000,253.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/HelpPanel/NextButton | active=1 | pos=(542.2222,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpPanel/NextButton/Label | active=1 | pos=(542.2222,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/HelpPanel/PageLabel | active=1 | pos=(320.0000,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/HelpPanel/PrevButton | active=1 | pos=(97.7778,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/HelpPanel/PrevButton/Label | active=1 | pos=(97.7778,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/MobileAudioHint | active=0 | pos=(320.0000,48.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/SkipRow | active=0 | pos=(320.0000,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/SkipRow/Label | active=1 | pos=(320.0000,93.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/StartButton | active=1 | pos=(320.0000,128.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Button,CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/StartButton/Label | active=1 | pos=(320.0000,128.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/Sub | active=1 | pos=(320.0000,173.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/Title | active=1 | pos=(320.0000,328.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform
Screens/TitleScreen/Root/Title/Img | active=1 | pos=(275.5555,362.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/Title/Img (1) | active=1 | pos=(364.4445,295.5555,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/VolumeLabel | active=1 | pos=(204.4445,62.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
Screens/TitleScreen/Root/VolumeSlider | active=1 | pos=(333.3333,62.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform,Slider,VolumeSliderView
Screens/TitleScreen/Root/VolumeSlider/HandleArea | active=1 | pos=(333.3333,62.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
Screens/TitleScreen/Root/VolumeSlider/HandleArea/Handle | active=1 | pos=(414.2222,62.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Screens/TitleScreen/Root/VolumeSlider/Track | active=1 | pos=(333.3333,62.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
Silhouettes | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SilhouetteDirector,Transform
Stage | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Stage/StandMarker | active=1 | pos=(-1.0000,1.2500,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | DestinationMarkerView,SpriteRenderer,Transform
Systems | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AttackScheduler,DebugCheats,DebugEventLogger,DebugHud,DebugTimeScale,EventDirector,GameFlowController,PhaseSequencer,SaltCorners,Sanity,Talisman,Transform
UI | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | Canvas,CanvasScaler,GraphicRaycaster,RectTransform
UI/DialogueBox | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | DialogueBoxView,RectTransform
UI/DialogueBox/Root | active=0 | pos=(320.0000,10.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
UI/DialogueBox/Root/AdvanceIndicator | active=0 | pos=(655.1111,22.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/DialogueBox/Root/Body | active=1 | pos=(395.5555,81.7778,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/DialogueBox/Root/Frame | active=1 | pos=(320.0000,90.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/DialogueBox/Root/NamePanel | active=1 | pos=(195.5556,166.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/DialogueBox/Root/NamePanel/NameLabel | active=1 | pos=(195.5556,166.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/DialogueBox/Root/Portrait | active=1 | pos=(4.4444,24.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/DialogueBox/SkipHint | active=0 | pos=(622.2222,466.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/DoorHint | active=1 | pos=(320.0000,264.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | DoorHintView,RectTransform
UI/DoorHint/Row | active=0 | pos=(320.0000,130.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | ContentSizeFitter,HorizontalLayoutGroup,RectTransform
UI/DoorHint/Row/Keycap | active=1 | pos=(320.0000,142.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,LayoutElement,RectTransform
